Top 20 phoneme n-grams for each trained language.
Models most frequent clusters of speech sounds 
(bigrams, trigrams, 4-grams) in a given language, 
based on training materials.

Interesting: if you can read IPA characters, and
have some knowledge of a language, you might be 
able to guess the language corresponding to a
list of most common co-occurring speech sounds!

en:                     count   logprob
('k', 'u', 'w', '.'):   30,     -5.473530384104697
('k', 'a', 'ʒ', 'd'):   30,     -5.473530384104697
('a', 'ʒ', 'd', 'ɨ'):   30,     -5.473530384104697
('ʒ', 'd', 'ɨ', 't'):   29,     -5.507431935780378
('d', 'ɨ', 't', 'ʃ̑'):   29,     -5.507431935780378
('ɨ', 't', 'ʃ̑', 'w'):   29,     -5.507431935780378
('v', 'ɔ', 'l', 'n'):   27,     -5.578890899762523

ru:                     count   logprob
('п', 'р'):     68,     -4.098258461543237
('р', 'а́'):     60,     -4.2234216044972435
('kʲ', 'ɪ'):    59,     -4.240228722813624
('а́', 'в'):     57,     -4.274714898884794
('ɕ', 'ɪ'):     53,     -4.3474742531672215
('t͡', 'ɕ'):     52,     -4.366522448137917
('ɪ', 'ɫ'):     45,     -4.511103676949024
('s', 't'):     45,     -4.511103676949024
('ɫ', 'ɐ'):     44,     -4.533576532801082
('ɐ', 'vʲ'):    44,     -4.533576532801082
('vʲ', 'e'):    44,     -4.533576532801082
('ɪ', 't͡'):     43,     -4.556566051025781
('n', 'a'):     43,     -4.556566051025781
('o', 'b'):     42,     -4.580096548435975
('в', 'о'):     41,     -4.604194100015036
('lʲ', 'ʉ'):    40,     -4.628886712605407
('ʉ', 'dʲ'):    40,     -4.628886712605407
('dʲ', 'ɪ'):    40,     -4.628886712605407
('e', 'kʲ'):    40,     -4.628886712605407
('a', 'gʲ'):    40,     -4.628886712605407

ru:                     count   logprob
('п', 'р', 'а́'):        54,     -4.329026230982596
('р', 'а́', 'в'):        54,     -4.329026230982596
('t͡', 'ɕ', 'ɪ'):        47,     -4.4678626758368125
('ɕ', 'ɪ', 'ɫ'):        45,     -4.511347787776551
('ɐ', 'vʲ', 'e'):       44,     -4.5338206436286095
('ɪ', 't͡', 'ɕ'):        43,     -4.556810161853309
('lʲ', 'ʉ', 'dʲ'):      40,     -4.629130823432935
('ʉ', 'dʲ', 'ɪ'):       40,     -4.629130823432935
('dʲ', 'ɪ', 't͡'):       40,     -4.629130823432935
('ɪ', 'ɫ', 'ɐ'):        40,     -4.629130823432935
('ɫ', 'ɐ', 'vʲ'):       40,     -4.629130823432935
('vʲ', 'e', 'kʲ'):      40,     -4.629130823432935
('e', 'kʲ', 'ɪ'):       40,     -4.629130823432935
('n', 'a', 'gʲ'):       40,     -4.629130823432935
('а́', 'в', 'о'):        40,     -4.629130823432935
('.', 's', 't'):        30,     -4.916812895884716
('s', 't', 'ɐ'):        30,     -4.916812895884716
('t', 'ɐ', 'tʲ'):       30,     -4.916812895884716
('ɐ', 'tʲ', 'j'):       30,     -4.916812895884716
('tʲ', 'j', 'æ'):       30,     -4.916812895884716

ru:                     count   logprob
('п', 'р', 'а́', 'в'):   54,     -4.329270282234571
('ɪ', 't͡', 'ɕ', 'ɪ'):   43,     -4.557054213105283
('lʲ', 'ʉ', 'dʲ', 'ɪ'): 40,     -4.629374874684909
('ʉ', 'dʲ', 'ɪ', 't͡'):  40,     -4.629374874684909
('dʲ', 'ɪ', 't͡', 'ɕ'):  40,     -4.629374874684909
('t͡', 'ɕ', 'ɪ', 'ɫ'):   40,     -4.629374874684909
('ɕ', 'ɪ', 'ɫ', 'ɐ'):   40,     -4.629374874684909
('ɪ', 'ɫ', 'ɐ', 'vʲ'):  40,     -4.629374874684909
('ɫ', 'ɐ', 'vʲ', 'e'):  40,     -4.629374874684909
('ɐ', 'vʲ', 'e', 'kʲ'): 40,     -4.629374874684909
('vʲ', 'e', 'kʲ', 'ɪ'): 40,     -4.629374874684909
('р', 'а́', 'в', 'о'):   40,     -4.629374874684909
('.', 's', 't', 'ɐ'):   30,     -4.91705694713669
('s', 't', 'ɐ', 'tʲ'):  30,     -4.91705694713669
('t', 'ɐ', 'tʲ', 'j'):  30,     -4.91705694713669
('ɐ', 'tʲ', 'j', 'æ'):  30,     -4.91705694713669
('tʲ', 'j', 'æ', '.'):  30,     -4.91705694713669
('.', 'lʲ', 'ʉ', 'dʲ'): 27,     -5.022417462794516
('а́', 'в', 'о', 'n'):   23,     -5.182760112869695
